stream|stream_partition|ts|kafka_offset
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:34.455000|74608290
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:35.465000|74608296
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:36.479000|74608302
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:37.493000|74608309
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:38.507000|74608315
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:39.521000|74608321
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:40.535000|74608328
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:41.549000|74608334
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:42.564000|74608341
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:43.577000|74608348
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:44.591000|74608354
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:45.605000|74608360
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:46.619000|74608366
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:47.634000|74608375
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:48.647000|74608381
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:49.661000|74608387
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:50.675000|74608393
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:51.689000|74608399
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:52.703000|74608409
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:53.717000|74608416
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:54.731000|74608422
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:55.745000|74608428
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:56.798000|74608434
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:57.808000|74608445
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:58.821000|74608452
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:59.837000|74608457
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:00.851000|74608464
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:02.422000|74608473
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:03.858000|74608480
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:04.871000|74608486
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:05.885000|74608492
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:06.911000|74608498
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:07.914000|74608505
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:08.928000|74608511
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:09.942000|74608517
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:10.955000|74608523
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:11.969000|74608529
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:12.983000|74608536
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:13.998000|74608543
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:15.012000|74608549
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:16.026000|74608555
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:17.158000|74608561
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:18.460000|74608574
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:20.084000|74608581
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:21.098000|74608587
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:22.111000|74608593
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:05:23.126000|74608599
